Date,Energy Index,Non-energy Index,Agriculture Index,Beverage Index,Food Index,Oils & Meals Index,Grain Index,Other Food Index,Raw Materials Index,Timber Index,Other Raw Mat. Index,Fertilizer Index,Metals  & Minerals Index,Base Metals (ex. iron ore) Index,Precious Metals Index
31.01.1970,9.108467512,95.57415674,104.7257923,117.9352286,110.639821,111.8485276,120.8274908,99.8046298,83.65976322,79.12711351,88.66726194,37.90158519,83.31441848,95.91950148,18.3464393
28.02.1970,9.080385,95.580735,104.57505,117.48555,110.126565,112.880805,118.60446,98.851395,84.563775,81.034905,88.39389,37.78473,83.703075,96.441435,18.375945
31.03.1970,9.108431212,96.73930969,105.1570542,119.2729642,110.682548,113.0136157,117.0714002,101.7899564,84.60912405,82.58023179,86.81068799,37.90143414,86.07683335,99.32938492,18.43270203
30.04.1970,9.068184325,96.82757955,105.5089693,120.980753,111.1389795,115.7805146,115.3077656,101.2542288,83.93442648,82.38724811,85.65351355,37.73396131,85.73946791,98.93346121,18.35125453
31.05.1970,9.212594703,98.06392276,108.2370724,124.0862282,114.2187097,119.9820391,117.144036,103.9582369,85.66403226,85.75135543,85.5330475,38.33487274,83.9612304,96.62309041,17.98857354
30.06.1970,9.1493954,96.56731543,107.7547278,122.6279156,113.9121408,120.4598124,116.9908473,102.5079181,85.24981685,86.33386844,84.07904114,38.07189176,80.26317955,92.14438495,17.60499778
31.07.1970,9.105065612,95.19324521,106.887429,122.551594,112.8424008,119.8330199,116.855534,99.93996188,84.44840475,85.91557172,82.85178187,37.15384593,77.88930535,89.19512142,17.69230759
31.08.1970,9.110524645,93.95498401,106.0016019,121.6319807,111.4851878,115.5870828,118.5231761,99.69763699,84.671748,85.96708326,83.24687922,37.17612189,75.73393472,86.5283952,18.17787145
30.09.1970,9.186527336,94.34694188,106.4940562,121.6888337,112.0669259,114.2002901,120.034388,101.9660996,85.24749064,86.6842461,83.72365909,37.4862561,75.93034917,86.77132219,18.54720685
31.10.1970,9.19405777,94.77287038,108.237154,120.3942257,115.5139675,121.1349792,121.1349792,103.1390272,84.35874807,86.75530342,81.7878978,37.51698455,73.63960963,83.96658447,18.69313168
30.11.1970,9.216865449,95.18270054,109.4229761,116.7178411,117.5477958,125.6289338,122.6585696,102.3465201,85.96583509,86.9705171,84.87378942,37.61005285,72.51183244,82.51497077,18.78318551
31.12.1970,9.146504893,93.89255734,108.240866,114.0928952,116.3903585,123.4561419,121.6788589,102.30214,85.48297464,86.30659356,84.57265899,37.32294177,70.96127256,80.67130619,18.11961633
