Date;CPI Total;Nahrungsmittel und alkoholfreie Getränke;Nahrungsmittel;Brot, Mehl und Getreideprodukte;Fleisch, Fleischwaren;Milch, Käse, Eier;Früchte, Gemüse, Kartoffeln und Pilze
30.11.1984;66.5103;77.8486;76.7064;74.7666;68.7421;89.5496;74.2166
31.12.1984;66.4889;77.3462;76.182;74.7669;68.7756;89.6006;71.6411
31.01.1985;67.1389;79.0735;77.9976;75.0906;68.654;89.6508;79.8514
28.02.1985;67.6866;80.0383;78.9828;75.3444;68.4377;89.5469;84.354
31.03.1985;68.0631;80.6058;79.5667;76.0835;67.7609;89.729;87.5441
30.04.1985;67.9801;81.0278;79.9869;76.5361;67.6894;89.7692;88.884
31.05.1985;67.9329;80.4608;79.3793;76.854;67.4401;89.827;85.9824
30.06.1985;67.8994;80.1113;78.9945;76.9054;67.4652;89.6724;84.2505
31.07.1985;67.7544;79.2051;78.0252;77.0175;67.753;89.5669;79.1313
31.08.1985;67.7398;77.2881;75.9647;77.1508;67.9966;89.5915;68.578
30.09.1985;67.9487;77.3188;75.9934;77.1396;68.622;89.4812;68.0652
31.10.1985;68.1178;77.9306;76.6491;77.1325;68.1934;89.5856;71.53
30.11.1985;68.5995;78.46;77.2272;77.2495;68.3479;89.6664;73.7844
31.12.1985;68.6419;79.1915;78.0115;78.6414;68.5096;89.8154;76.0472
31.01.1986;68.6127;79.6808;78.5206;78.8994;68.2274;89.8154;78.4848
28.02.1986;68.5958;79.639;78.4085;79.2056;66.9688;90.1138;79.2819
31.03.1986;68.6804;79.98;78.7131;79.3272;66.8623;90.3577;80.9418
30.04.1986;68.6428;80.4934;79.2243;79.3643;66.5575;90.5129;83.3447
31.05.1986;68.4336;80.5666;79.2661;79.4311;66.3304;90.4257;83.7208
30.06.1986;68.4199;81.2011;79.9214;79.6468;67.4241;90.3478;85.2125
31.07.1986;68.0967;81.0373;79.7826;79.678;67.6975;92.7343;81.4745
31.08.1986;68.228;79.1534;77.7905;79.778;67.6847;93.5502;71.0968
30.09.1986;68.3467;78.9608;77.6252;79.7878;67.515;93.5521;70.7037
31.10.1986;68.3634;79.3274;78.0216;79.7923;66.9599;93.6116;73.2583
30.11.1986;68.5325;78.8633;77.5296;79.7884;67.0255;93.6721;70.8575
31.12.1986;68.6694;79.4339;78.1523;79.8341;67.215;94.0298;73.2177
31.01.1987;69.0667;79.9786;78.7827;79.8736;67.2393;94.0449;76.0226
28.02.1987;69.2694;80.2646;79.1316;79.8815;67.094;94.1331;77.7607
31.03.1987;69.3662;80.7968;79.7436;79.8785;67.1444;94.1748;80.7169
30.04.1987;69.4528;81.1426;80.1454;79.8514;66.3436;94.3575;83.4226
31.05.1987;69.068;80.0808;79.0691;79.8541;65.8011;94.4031;79.2964
30.06.1987;69.2885;81.2119;80.2748;79.8392;66.768;94.3135;83.6534
31.07.1987;69.3063;80.9488;79.9941;79.8715;67.4679;94.2092;81.4273
31.08.1987;69.5758;80.4886;79.5181;80.0179;68.1711;94.2051;78.149
30.09.1987;69.4104;79.7491;78.743;79.9549;69.1171;94.0499;73.5346
31.10.1987;69.7165;80.1897;79.2475;80.0275;68.9881;94.0503;76.0204
30.11.1987;69.9701;80.354;79.4392;80.0134;69.1565;94.0751;76.4604
31.12.1987;69.9652;80.4971;79.5997;80.0666;69.5171;94.3055;76.4545
31.01.1988;70.1438;81.2187;80.3675;80.3255;69.5984;94.3976;79.5279
29.02.1988;70.4865;82.1026;81.3152;80.5939;69.5762;96.8364;81.1116
31.03.1988;70.6497;83.0487;82.3245;80.6606;70.4956;97.8286;83.7554
30.04.1988;70.7846;83.479;82.78;80.8479;70.311;98.4372;85.3167
31.05.1988;70.6127;83.0711;82.3439;81.4266;70.3428;98.4126;82.8096
30.06.1988;70.7226;83.4788;82.7792;81.5243;70.9945;98.3983;83.8939
31.07.1988;70.5614;82.4947;81.7376;81.612;71.7125;98.504;77.8083
31.08.1988;70.8076;81.2282;80.4092;81.6543;71.8115;98.3492;71.4333
30.09.1988;70.8259;81.264;80.4497;81.6822;71.8177;98.3083;71.7964
31.10.1988;70.9391;81.8464;81.0626;81.7437;71.3807;98.2837;75.1305
