Date;Effective Exchange Rate Index Real
31.12.1984;90.3589
31.01.1985;89.2944
28.02.1985;87.7874
31.03.1985;87.6309
30.04.1985;89.088
31.05.1985;88.2755
30.06.1985;88.4152
31.07.1985;89.9024
31.08.1985;92.2237
30.09.1985;91.8081
31.10.1985;93.251
30.11.1985;93.6788
31.12.1985;92.8116
31.01.1986;92.2702
28.02.1986;94.0135
31.03.1986;94.0576
30.04.1986;94.5412
31.05.1986;94.8651
30.06.1986;95.6897
31.07.1986;97.8899
31.08.1986;100.1588
30.09.1986;99.9859
31.10.1986;99.9032
30.11.1986;98.2944
31.12.1986;98.4348
31.01.1987;99.8561
28.02.1987;99.6436
31.03.1987;99.663
30.04.1987;100.7008
31.05.1987;100.6528
30.06.1987;99.8432
31.07.1987;99.3603
31.08.1987;99.8108
30.09.1987;99.4785
31.10.1987;99.4864
30.11.1987;102.2761
31.12.1987;103.4566
31.01.1988;103.169
29.02.1988;102.1715
31.03.1988;101.117
30.04.1988;100.6418
31.05.1988;99.0328
30.06.1988;98.6042
31.07.1988;97.6534
31.08.1988;96.3818
30.09.1988;96.0336
31.10.1988;95.7421
30.11.1988;97.1311
31.12.1988;96.5635
31.01.1989;94.7625
28.02.1989;94.6543
31.03.1989;93.5135
30.04.1989;91.3111
31.05.1989;89.7625
30.06.1989;92.6621
31.07.1989;93.1199
31.08.1989;92.8641
30.09.1989;92.586
31.10.1989;92.7933
30.11.1989;93.3385
31.12.1989;93.5532
31.01.1990;94.4054
28.02.1990;95.1353
31.03.1990;95.3063
30.04.1990;95.8884
31.05.1990;99.1509
30.06.1990;99.4844
31.07.1990;98.8323
31.08.1990;101.9018
30.09.1990;101.9141
31.10.1990;100.9568
30.11.1990;102.012
31.12.1990;101.2858
31.01.1991;102.6113
28.02.1991;101.7853
31.03.1991;99.3222
30.04.1991;99.6426
31.05.1991;100.0224
30.06.1991;98.3588
31.07.1991;96.7079
31.08.1991;96.9818
30.09.1991;97.0754
31.10.1991;96.3916
30.11.1991;96.811
31.12.1991;97.2583
31.01.1992;96.7212
29.02.1992;95.4217
31.03.1992;94.1118
30.04.1992;92.7042
31.05.1992;92.679
30.06.1992;94.6961
31.07.1992;96.5761
31.08.1992;97.2787
30.09.1992;99.9619
31.10.1992;101.0724
30.11.1992;99.063
31.12.1992;99.8114
31.01.1993;97.8413
28.02.1993;97.0819
31.03.1993;97.4543
30.04.1993;98.3134
31.05.1993;98.799
30.06.1993;98.8869
31.07.1993;99.1918
31.08.1993;100.6432
30.09.1993;102.839
31.10.1993;102.4344
30.11.1993;101.0032
31.12.1993;103.606
31.01.1994;104.07
28.02.1994;104.3703
31.03.1994;104.2572
30.04.1994;103.5822
31.05.1994;102.5321
30.06.1994;104.2006
31.07.1994;104.9625
31.08.1994;105.6271
30.09.1994;106.7005
31.10.1994;107.1332
30.11.1994;105.7781
31.12.1994;104.946
31.01.1995;106.8678
28.02.1995;107.5482
31.03.1995;112.0777
30.04.1995;113.5401
31.05.1995;111.2795
30.06.1995;111.5003
31.07.1995;110.8555
31.08.1995;110.2244
30.09.1995;111.9209
31.10.1995;113.711
30.11.1995;113.8426
31.12.1995;112.8437
31.01.1996;112.5298
29.02.1996;110.8596
31.03.1996;111.0057
30.04.1996;110.0894
31.05.1996;107.3816
30.06.1996;106.9375
31.07.1996;107.653
31.08.1996;109.6377
30.09.1996;107.9585
31.10.1996;106.5937
30.11.1996;103.7678
31.12.1996;101.2849
31.01.1997;99.116
28.02.1997;98.4502
31.03.1997;98.5466
30.04.1997;99.2763
31.05.1997;100.1061
30.06.1997;100.1973
31.07.1997;99.5614
31.08.1997;99.9301
30.09.1997;100.5502
31.10.1997;100.4201
30.11.1997;102.3719
31.12.1997;102.3079
31.01.1998;101.6729
28.02.1998;102.1128
31.03.1998;100.6557
30.04.1998;98.9256
31.05.1998;99.0466
30.06.1998;98.9633
31.07.1998;97.8405
31.08.1998;99.2245
30.09.1998;101.4525
31.10.1998;102.7979
30.11.1998;101.2632
31.12.1998;102.3647
31.01.1999;101.4618
28.02.1999;101.2296
31.03.1999;100.6187
30.04.1999;99.557
31.05.1999;98.9468
30.06.1999;99.0052
31.07.1999;98.3177
31.08.1999;99.2265
30.09.1999;98.529
31.10.1999;99.2693
30.11.1999;97.5362
31.12.1999;97.1478
31.01.2000;97.4741
29.02.2000;97.1335
31.03.2000;96.3536
30.04.2000;97.2858
31.05.2000;97.4227
30.06.2000;98.5368
31.07.2000;99.1486
31.08.2000;97.7261
30.09.2000;97.9913
31.10.2000;98.2194
30.11.2000;98.009
31.12.2000;100
31.01.2001;100.848
28.02.2001;99.4285
31.03.2001;99.4978
30.04.2001;99.0498
31.05.2001;97.937
30.06.2001;97.832
31.07.2001;99.2166
31.08.2001;100.2194
30.09.2001;101.9314
31.10.2001;102.4796
30.11.2001;102.5525
31.12.2001;102.2359
31.01.2002;102.0163
28.02.2002;101.1824
31.03.2002;101.7277
30.04.2002;102.2247
31.05.2002;103.9957
30.06.2002;104.1656
31.07.2002;105.8533
31.08.2002;105.2272
30.09.2002;105.0612
31.10.2002;105.4483
30.11.2002;105.3325
31.12.2002;105.7976
31.01.2003;107.424
28.02.2003;107.4151
31.03.2003;107.6562
30.04.2003;105.3926
31.05.2003;105.6891
30.06.2003;104.0016
31.07.2003;102.4742
31.08.2003;102.3916
30.09.2003;101.7243
31.10.2003;102.6213
30.11.2003;101.6412
31.12.2003;103.2664
31.01.2004;102.8413
29.02.2004;102.117
31.03.2004;101.5937
30.04.2004;101.5045
31.05.2004;103.0341
30.06.2004;104.5566
31.07.2004;103.7978
31.08.2004;103.0656
30.09.2004;102.6642
31.10.2004;103.3729
30.11.2004;105.527
31.12.2004;104.9593
31.01.2005;103.5194
28.02.2005;102.7118
31.03.2005;103.1303
30.04.2005;102.7644
31.05.2005;102.0747
30.06.2005;100.8363
31.07.2005;99.4651
31.08.2005;100.069
30.09.2005;100.0573
31.10.2005;99.9534
30.11.2005;99.5801
31.12.2005;99.2801
31.01.2006;99.6358
28.02.2006;98.6293
31.03.2006;98.0694
30.04.2006;97.9199
31.05.2006;99.8835
30.06.2006;99.7211
31.07.2006;99.0345
31.08.2006;98.5789
30.09.2006;97.8093
31.10.2006;96.959
30.11.2006;96.924
31.12.2006;97.0151
31.01.2007;95.171
28.02.2007;94.7754
31.03.2007;95.5448
30.04.2007;94.3597
31.05.2007;93.4353
30.06.2007;92.9296
31.07.2007;93.0337
31.08.2007;93.8278
30.09.2007;93.4155
31.10.2007;92.4341
30.11.2007;94.1895
31.12.2007;93.5771
31.01.2008;95.9788
29.02.2008;96.3962
31.03.2008;100.2183
30.04.2008;99.0318
31.05.2008;96.9767
30.06.2008;97.3721
31.07.2008;97.1187
31.08.2008;95.6348
30.09.2008;96.4902
31.10.2008;100.1432
30.11.2008;99.5633
31.12.2008;100.5065
31.01.2009;102.8634
28.02.2009;102.2389
31.03.2009;102.0686
30.04.2009;101.1499
31.05.2009;101.5367
30.06.2009;101.8358
31.07.2009;101.4194
31.08.2009;101.2325
30.09.2009;102.2869
31.10.2009;102.8379
30.11.2009;102.9897
31.12.2009;102.6589
31.01.2010;103.4831
28.02.2010;102.5479
31.03.2010;103.38
30.04.2010;103.7014
31.05.2010;102.3493
30.06.2010;103.9503
31.07.2010;107.4197
31.08.2010;107.6075
30.09.2010;110.2503
31.10.2010;109.1551
30.11.2010;108.5635
31.12.2010;112.4577
31.01.2011;112.4055
28.02.2011;111.4956
31.03.2011;113.4701
30.04.2011;112.9335
31.05.2011;115.9879
30.06.2011;120.1154
31.07.2011;122.2988
31.08.2011;128.3483
30.09.2011;118.5119
31.10.2011;115.3829
30.11.2011;114.4422
31.12.2011;113.6111
31.01.2012;113.2603
29.02.2012;113.9251
31.03.2012;114.2967
30.04.2012;113.9471
31.05.2012;112.9981
30.06.2012;112.3216
31.07.2012;110.8955
31.08.2012;110.6208
30.09.2012;111.1366
31.10.2012;111.1502
30.11.2012;110.9396
31.12.2012;111.3588
31.01.2013;110.4148
28.02.2013;110.7964
31.03.2013;109.6877
30.04.2013;110.1149
31.05.2013;108.2039
30.06.2013;110.3079
31.07.2013;109.8736
31.08.2013;111.1362
30.09.2013;110.861
31.10.2013;111.4818
30.11.2013;111.0883
31.12.2013;112.4187
31.01.2014;111.7068
28.02.2014;112.5632
31.03.2014;113.491
30.04.2014;112.6174
31.05.2014;111.9155
30.06.2014;111.1785
31.07.2014;111.048
31.08.2014;110.844
30.09.2014;109.744
31.10.2014;109.15
30.11.2014;109.5196
31.12.2014;109.449
31.01.2015;117.0278
28.02.2015;118.6372
31.03.2015;116.0516
30.04.2015;117.374
31.05.2015;118.7112
30.06.2015;118.7613
31.07.2015;117.1074
31.08.2015;115.5555
30.09.2015;115.2555
31.10.2015;115.1962
30.11.2015;113.3222
31.12.2015;114.4128
31.01.2016;114.2662
29.02.2016;114.4383
31.03.2016;114.6292
30.04.2016;115.278
31.05.2016;113.6671
30.06.2016;114.9082
31.07.2016;114.9232
31.08.2016;115.2386
30.09.2016;114.6669
31.10.2016;114.6863
30.11.2016;115.3633
31.12.2016;114.2087
31.01.2017;114.8667
28.02.2017;115.1416
31.03.2017;114.7172
30.04.2017;114.0962
31.05.2017;113.9431
30.06.2017;114.8039
31.07.2017;114.1621
31.08.2017;111.7895
30.09.2017;111.0972
31.10.2017;109.9683
30.11.2017;108.8864
31.12.2017;108.5891
31.01.2018;108.8663
28.02.2018;111.0812
31.03.2018;109.7117
30.04.2018;107.7607
31.05.2018;107.2327
30.06.2018;109.1426
31.07.2018;109.1377
31.08.2018;110.9043
30.09.2018;112.8735
31.10.2018;110.7145
30.11.2018;110.3936
31.12.2018;111.2754
31.01.2019;110.8189
28.02.2019;109.5225
31.03.2019;109.6915
30.04.2019;109.1147
31.05.2019;109.3842
30.06.2019;111.1168
31.07.2019;111.0657
31.08.2019;113.2071
30.09.2019;112.2886
31.10.2019;110.9783
30.11.2019;110.6446
31.12.2019;111.1257
31.01.2020;112.2144
29.02.2020;112.7903
31.03.2020;115.8171
30.04.2020;115.6218
31.05.2020;115.3345
30.06.2020;114.7722
31.07.2020;115.7793
31.08.2020;116.3781
30.09.2020;116.0145
31.10.2020;116.2248
30.11.2020;115.3424
31.12.2020;115.7595
31.01.2021;115.1091
28.02.2021;113.6186
31.03.2021;110.8224
30.04.2021;111.2908
31.05.2021;112.1287
30.06.2021;111.6379
31.07.2021;111.6594
31.08.2021;112.2713
30.09.2021;111.0998
31.10.2021;111.5657
30.11.2021;112.4889
31.12.2021;113.1702
31.01.2022;112.3463
28.02.2022;111.515
31.03.2022;112.18
30.04.2022;110.9432
31.05.2022;108.4257
30.06.2022;109.3467
31.07.2022;111.7116
31.08.2022;113.1799
30.09.2022;112.864
31.10.2022;110.6233
30.11.2022;111.1623
31.12.2022;112.2175
