Date;Effective Exchange Rate Index Real
31.01.1973;72.8511
28.02.1973;76.1355
31.03.1973;77.6143
30.04.1973;77.1622
31.05.1973;77.8288
30.06.1973;77.7657
31.07.1973;80.0926
31.08.1973;77.7617
30.09.1973;76.9255
31.10.1973;76.94
30.11.1973;77.6654
31.12.1973;79.324
31.01.1974;79.1054
28.02.1974;80.5025
31.03.1974;80.3377
30.04.1974;78.8241
31.05.1974;81.2971
30.06.1974;80.0851
31.07.1974;80.2455
31.08.1974;81.2123
30.09.1974;82.0808
31.10.1974;83.2606
30.11.1974;86.7358
31.12.1974;89.4929
31.01.1975;89.5797
28.02.1975;89.5211
31.03.1975;88.1531
30.04.1975;85.8602
31.05.1975;86.5583
30.06.1975;86.4299
31.07.1975;85.4735
31.08.1975;85.822
30.09.1975;86.0047
31.10.1975;86.441
30.11.1975;86.6173
31.12.1975;87.4818
31.01.1976;88.0875
29.02.1976;88.9423
31.03.1976;89.855
30.04.1976;91.0549
31.05.1976;92.1426
30.06.1976;93.1872
31.07.1976;92.5147
31.08.1976;92.0142
30.09.1976;90.7104
31.10.1976;90.9281
30.11.1976;90.5054
31.12.1976;89.175
31.01.1977;87.0671
28.02.1977;85.6808
31.03.1977;83.6141
30.04.1977;83.4479
31.05.1977;82.8255
30.06.1977;83.7374
31.07.1977;85.0087
31.08.1977;85.497
30.09.1977;86.7177
31.10.1977;88.8752
30.11.1977;90.7563
31.12.1977;93.8076
31.01.1978;95.8215
28.02.1978;98.8275
31.03.1978;97.4335
30.04.1978;96.5333
31.05.1978;95.0779
30.06.1978;97.6635
31.07.1978;99.8425
31.08.1978;105.2182
30.09.1978;109.9982
31.10.1978;107.0207
30.11.1978;100.9513
31.12.1978;99.8704
31.01.1979;98.5262
28.02.1979;98.9419
31.03.1979;98.4474
30.04.1979;96.8647
31.05.1979;96.6788
30.06.1979;97.8348
31.07.1979;97.1124
31.08.1979;96.0631
30.09.1979;97.2776
31.10.1979;96.1729
30.11.1979;94.612
31.12.1979;95.1573
31.01.1980;93.5828
29.02.1980;90.7452
31.03.1980;87.6944
30.04.1980;87.9827
31.05.1980;89.5761
30.06.1980;89.5583
31.07.1980;89.953
31.08.1980;89.1046
30.09.1980;89.0104
31.10.1980;88.5949
30.11.1980;87.9596
31.12.1980;86.6777
31.01.1981;85.7624
28.02.1981;84.398
31.03.1981;85.1414
30.04.1981;84.0104
31.05.1981;84.4779
30.06.1981;86.8807
31.07.1981;87.892
31.08.1981;87.678
30.09.1981;89.3798
31.10.1981;93.2623
30.11.1981;97.3268
31.12.1981;96.3024
31.01.1982;95.7843
28.02.1982;95.6388
31.03.1982;97.0924
30.04.1982;94.4839
31.05.1982;92.7465
30.06.1982;91.5246
31.07.1982;92.2732
31.08.1982;92.6178
30.09.1982;92.2828
31.10.1982;91.8849
30.11.1982;91.8686
31.12.1982;94.3265
31.01.1983;96.6181
28.02.1983;95.6103
31.03.1983;93.8342
30.04.1983;94.7324
31.05.1983;94.8607
30.06.1983;94.9893
31.07.1983;95.2355
31.08.1983;95.5612
30.09.1983;95.1112
31.10.1983;95.8361
30.11.1983;95.5059
31.12.1983;96.071
31.01.1984;95.7517
29.02.1984;94.3367
31.03.1984;94.3662
30.04.1984;93.5301
31.05.1984;92.5324
30.06.1984;91.9719
31.07.1984;89.7233
31.08.1984;90.3276
30.09.1984;90.3469
31.10.1984;90.7683
30.11.1984;91.4099
