Date;Monetary aggregate M2 in mio CHF;Monetary aggregate M3 in mio CHF
30.11.1992;245244;377600
31.12.1992;255466;381109
31.01.1993;257560;380820
28.02.1993;261858;381412
31.03.1993;268917;386381
30.04.1993;270928;387962
31.05.1993;274177;386007
30.06.1993;276329;384747
31.07.1993;273954;384950
31.08.1993;275895;385434
30.09.1993;279623;387442
31.10.1993;285644;392784
30.11.1993;290698;397033
31.12.1993;298810;400107
31.01.1994;302458;403940
28.02.1994;305128;407464
31.03.1994;304256;408010
30.04.1994;304541;411014
31.05.1994;305522;410172
30.06.1994;304906;407858
31.07.1994;299419;403560
31.08.1994;298456;401941
30.09.1994;302254;404723
31.10.1994;303238;407134
30.11.1994;309573;411637
31.12.1994;313250;415020
31.01.1995;310439;414385
28.02.1995;309562;413275
31.03.1995;307998;412428
30.04.1995;309905;414034
31.05.1995;313851;417486
30.06.1995;315241;414266
31.07.1995;314884;413172
31.08.1995;318348;414242
30.09.1995;322034;416196
31.10.1995;329299;420018
30.11.1995;338784;423688
31.12.1995;342251;427002
31.01.1996;351776;434805
29.02.1996;355750;437213
31.03.1996;358272;442518
30.04.1996;360794;446160
31.05.1996;356096;445824
30.06.1996;353822;444175
31.07.1996;350064;443680
31.08.1996;349816;442760
30.09.1996;357677;446734
31.10.1996;361232;449820
30.11.1996;366942;456473
31.12.1996;367965;455644
31.01.1997;377138;465905
28.02.1997;379879;471174
31.03.1997;374558;467417
30.04.1997;378967;471874
31.05.1997;384073;473910
30.06.1997;381202;467735
31.07.1997;378333;465961
31.08.1997;379290;463115
30.09.1997;380682;463799
31.10.1997;381322;467295
30.11.1997;384880;469010
31.12.1997;390295;470953
31.01.1998;395656;473456
28.02.1998;403649;476296
31.03.1998;399032;478191
30.04.1998;396548;479179
31.05.1998;392964;475205
30.06.1998;387343;471545
31.07.1998;385300;471485
31.08.1998;387689;470482
30.09.1998;387830;466720
31.10.1998;395088;470394
30.11.1998;398357;478363
31.12.1998;393025;472944
31.01.1999;401313;477485
28.02.1999;407124;483479
31.03.1999;404466;481796
30.04.1999;410749;484440
31.05.1999;411567;484532
30.06.1999;407015;478502
31.07.1999;406735;478331
31.08.1999;405959;476969
30.09.1999;405077;475852
31.10.1999;405621;476089
30.11.1999;408509;480298
31.12.1999;401235;479794
31.01.2000;405366;479941
29.02.2000;400824;477898
31.03.2000;394792;475411
30.04.2000;392789;476026
31.05.2000;391193;477820
30.06.2000;383268;466816
31.07.2000;377499;467410
31.08.2000;377662;468341
30.09.2000;374173;464939
31.10.2000;374524;467679
30.11.2000;380861;473985
31.12.2000;378424;474814
31.01.2001;380914;480885
28.02.2001;377761;482736
31.03.2001;371741;481175
30.04.2001;374595;487474
31.05.2001;378034;490812
30.06.2001;373162;485901
31.07.2001;369293;482780
31.08.2001;369826;482437
30.09.2001;373574;483169
31.10.2001;378521;491563
30.11.2001;388174;500495
31.12.2001;395923;501841
31.01.2002;392686;498726
28.02.2002;396762;500773
31.03.2002;399916;502475
30.04.2002;400054;504446
31.05.2002;400897;504004
30.06.2002;405031;504918
31.07.2002;407885;507862
31.08.2002;412757;507543
30.09.2002;416479;509996
31.10.2002;420798;512633
30.11.2002;430211;519617
31.12.2002;437715;525906
31.01.2003;439413;529881
28.02.2003;444917;536455
31.03.2003;470566;544277
30.04.2003;481098;553870
31.05.2003;482706;552029
30.06.2003;482350;550980
31.07.2003;483857;549761
31.08.2003;491120;554352
30.09.2003;494343;560421
31.10.2003;503206;564469
30.11.2003;509896;564193
31.12.2003;503840;565195
31.01.2004;512409;572224
29.02.2004;516770;574348
31.03.2004;510508;570607
30.04.2004;514687;573972
31.05.2004;514909;574561
30.06.2004;506380;571493
31.07.2004;499446;566527
31.08.2004;499179;570624
30.09.2004;493461;569156
31.10.2004;493266;571896
30.11.2004;498032;579159
31.12.2004;493441;579458
31.01.2005;501013;589309
28.02.2005;501606;588059
31.03.2005;496537;586128
30.04.2005;493592;589975
31.05.2005;494301;592609
30.06.2005;499180;599285
31.07.2005;499193;605595
31.08.2005;499493;602001
30.09.2005;502521;603437
31.10.2005;504180;604847
30.11.2005;510211;612889
31.12.2005;506673;607671
31.01.2006;505211;607817
28.02.2006;503224;608282
31.03.2006;496795;609939
30.04.2006;497689;615120
31.05.2006;493323;611493
30.06.2006;489268;607866
31.07.2006;487877;613823
31.08.2006;488513;614852
30.09.2006;486009;614904
31.10.2006;486909;620794
30.11.2006;486611;621434
31.12.2006;481355;625482
31.01.2007;482240;630596
28.02.2007;480591;630845
31.03.2007;467966;626192
30.04.2007;469349;629933
31.05.2007;466145;628581
30.06.2007;459577;626019
31.07.2007;452879;623313
31.08.2007;448736;621705
30.09.2007;449432;626687
31.10.2007;450711;629410
30.11.2007;457852;636235
31.12.2007;457682;640841
31.01.2008;452706;641251
29.02.2008;450027;641838
31.03.2008;450365;645305
30.04.2008;453587;657785
31.05.2008;448782;651226
30.06.2008;441180;642584
31.07.2008;435474;636558
31.08.2008;438166;640121
30.09.2008;439101;638835
31.10.2008;455348;647068
30.11.2008;488397;649506
31.12.2008;528797;656047
31.01.2009;554045;664198
28.02.2009;574188;669054
31.03.2009;588179;670182
30.04.2009;603128;678896
31.05.2009;607065;677964
30.06.2009;605808;679985
31.07.2009;614988;683611
31.08.2009;620190;686984
30.09.2009;623574;687086
31.10.2009;632703;694758
30.11.2009;641577;702931
31.12.2009;642520;701462
31.01.2010;648377;706491
28.02.2010;649120;710940
31.03.2010;651979;713064
30.04.2010;661334;719904
31.05.2010;673948;731940
30.06.2010;676757;732581
31.07.2010;680072;732560
31.08.2010;683549;735713
30.09.2010;685297;736993
31.10.2010;690932;742335
30.11.2010;698984;749462
31.12.2010;699994;754354
31.01.2011;702111;758031
28.02.2011;706330;765593
31.03.2011;706062;763966
30.04.2011;714464;771590
31.05.2011;718365;778379
30.06.2011;713435;772607
31.07.2011;719024;778714
31.08.2011;744193;795030
30.09.2011;750805;796156
31.10.2011;758815;803307
30.11.2011;761126;804553
31.12.2011;767748;811554
31.01.2012;770983;815940
29.02.2012;772178;817815
31.03.2012;770920;817058
30.04.2012;776680;823211
31.05.2012;783248;829804
30.06.2012;795716;841009
31.07.2012;809833;853003
31.08.2012;820875;863019
30.09.2012;825539;867668
31.10.2012;831906;875634
30.11.2012;838456;880724
31.12.2012;846785;891208
31.01.2013;846510;891263
28.02.2013;850063;895617
31.03.2013;851678;895971
30.04.2013;861151;905766
31.05.2013;863035;908730
30.06.2013;853105;897327
31.07.2013;862302;906558
31.08.2013;870985;914538
30.09.2013;867266;910916
31.10.2013;871401;915016
30.11.2013;878392;920928
31.12.2013;873059;920683
31.01.2014;881341;928250
28.02.2014;884806;933548
31.03.2014;888164;937346
30.04.2014;890644;938788
31.05.2014;893837;942255
30.06.2014;887989;933865
31.07.2014;891568;938541
31.08.2014;895662;944673
30.09.2014;891505;941345
31.10.2014;896774;945819
30.11.2014;905114;953695
31.12.2014;895399;950669
31.01.2015;896675;954504
28.02.2015;897830;954951
31.03.2015;902232;958294
30.04.2015;897769;953086
31.05.2015;900794;956315
30.06.2015;898738;953674
31.07.2015;901733;956638
31.08.2015;903873;957996
30.09.2015;900098;953498
31.10.2015;905740;959523
30.11.2015;911839;973736
31.12.2015;908045;966396
31.01.2016;910723;968065
29.02.2016;913614;970240
31.03.2016;921767;975586
30.04.2016;921669;975870
31.05.2016;924122;977928
30.06.2016;923584;976385
31.07.2016;930158;982777
31.08.2016;933439;985659
30.09.2016;931565;982619
31.10.2016;936569;988200
30.11.2016;940251;992545
31.12.2016;943180;996141
31.01.2017;945332;997419
28.02.2017;948598;1001761
31.03.2017;952150;1004963
30.04.2017;954974;1007209
31.05.2017;964564;1016207
30.06.2017;963572;1015763
31.07.2017;969256;1021053
31.08.2017;974976;1025704
30.09.2017;973436;1024278
31.10.2017;978326;1028805
30.11.2017;983437;1034078
31.12.2017;980644;1031388
31.01.2018;985323;1036373
28.02.2018;987846;1038009
31.03.2018;988934;1037387
30.04.2018;989857;1039771
31.05.2018;993831;1044767
30.06.2018;989084;1038664
31.07.2018;995155;1045198
31.08.2018;1000599;1050830
30.09.2018;998652;1047675
31.10.2018;1005352;1054593
30.11.2018;1012258;1062624
31.12.2018;1015135;1063992
31.01.2019;1016265;1070756
28.02.2019;1020650;1075036
31.03.2019;1024380;1076180
30.04.2019;1026007;1077864
31.05.2019;1030635;1081329
30.06.2019;1026473;1077241
31.07.2019;1029083;1079474
31.08.2019;1030594;1080919
30.09.2019;1025083;1076189
31.10.2019;1022484;1074823
30.11.2019;1020566;1077713
31.12.2019;1016327;1072273
31.01.2020;1010892;1071532
29.02.2020;1013206;1075784
31.03.2020;1027023;1090838
30.04.2020;1035712;1100067
31.05.2020;1044646;1107962
30.06.2020;1047783;1110218
31.07.2020;1053410;1120025
31.08.2020;1058429;1123872
30.09.2020;1058289;1121938
31.10.2020;1067778;1134290
30.11.2020;1073708;1140090
31.12.2020;1077696;1141681
31.01.2021;1079973;1146987
28.02.2021;1082066;1148612
31.03.2021;1089345;1153523
30.04.2021;1090311;1154207
31.05.2021;1091499;1154396
30.06.2021;1088131;1151494
31.07.2021;1090501;1156754
31.08.2021;1090479;1159443
30.09.2021;1093024;1159481
31.10.2021;1095563;1163087
30.11.2021;1094782;1161271
31.12.2021;1094056;1157749
31.01.2022;1092989;1159418
28.02.2022;1091037;1159575
31.03.2022;1096687;1161579
30.04.2022;1093230;1155355
31.05.2022;1093806;1156745
30.06.2022;1088505;1149074
31.07.2022;1091057;1153641
31.08.2022;1092739;1156350
30.09.2022;1086944;1159797
31.10.2022;1075515;1161059
30.11.2022;1078562;1170598
31.12.2022;1059105;1158463
